code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,ut_sl,om
B120_1,CRUDEOIL,1,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,2,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,3,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,4,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,5,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,6,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,7,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,8,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,9,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_1,CRUDEOIL,10,16:15:00,23:20:00,17:30:00,15min,sell,HL,40,50,0
B120_2,CRUDEOIL,1,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,2,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,3,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,4,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,5,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,6,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,7,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,8,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,9,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_2,CRUDEOIL,10,16:15:00,23:20:00,17:30:00,15min,sell,HL,80,50,0
B120_1,NATURALGAS,1,16:15:00,23:20:00,17:30:00,15min,sell,HL,70,50,0
B120_1,NATURALGAS,2,16:15:00,23:20:00,17:30:00,15min,sell,HL,70,50,0
B120_1,NATURALGAS,3,16:15:00,23:20:00,17:30:00,15min,sell,HL,70,50,0
B120_1,NATURALGAS,4,16:15:00,23:20:00,17:30:00,15min,sell,HL,70,50,0
B120_1,NATURALGAS,5,16:15:00,23:20:00,17:30:00,15min,sell,HL,70,50,0
B120_1,NATURALGAS,6,16:15:00,23:20:00,17:30:00,15min,sell,HL,70,50,0
B120_2,NATURALGAS,1,16:15:00,23:20:00,17:30:00,15min,sell,HL,90,50,0
B120_2,NATURALGAS,2,16:15:00,23:20:00,17:30:00,15min,sell,HL,90,50,0
B120_2,NATURALGAS,3,16:15:00,23:20:00,17:30:00,15min,sell,HL,90,50,0
B120_2,NATURALGAS,4,16:15:00,23:20:00,17:30:00,15min,sell,HL,90,50,0
B120_2,NATURALGAS,5,16:15:00,23:20:00,17:30:00,15min,sell,HL,90,50,0
B120_2,NATURALGAS,6,16:15:00,23:20:00,17:30:00,15min,sell,HL,90,50,0
