code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,ut_sl,om,re_entries,re_gap
B120_TTC_RE_1,NIFTY,1,09:16:00,15:28:00,12:00:00,5min,sell,HL,20,TTC,0.2,2,1
B120_TTC_RE_2,NIFTY,1,09:16:00,15:28:00,12:00:00,5min,sell,HL,30,TTC,0.2,2,1
B120_TTC_RE_3,NIFTY,1,09:16:00,15:28:00,12:00:00,5min,sell,HL,40,TTC,0.2,2,1
B120_TTC_RE_1,SENSEX,1,09:16:00,15:28:00,12:00:00,5min,sell,HL,20,TTC,0.2,2,1
B120_TTC_RE_2,SENSEX,1,09:16:00,15:28:00,12:00:00,5min,sell,HL,30,TTC,0.2,2,1
B120_TTC_RE_3,SENSEX,1,09:16:00,15:28:00,12:00:00,5min,sell,HL,40,TTC,0.2,2,1
B120_TTC_RE_1,NIFTY,2,09:16:00,15:28:00,12:00:00,5min,sell,HL,20,TTC,0.2,0,1
B120_TTC_RE_2,NIFTY,2,09:16:00,15:28:00,12:00:00,5min,sell,HL,30,TTC,0.2,0,1
B120_TTC_RE_3,NIFTY,2,09:16:00,15:28:00,12:00:00,5min,sell,HL,40,TTC,0.2,0,1
B120_TTC_RE_1,SENSEX,2,09:16:00,15:28:00,12:00:00,5min,sell,HL,20,TTC,0.2,0,1
B120_TTC_RE_2,SENSEX,2,09:16:00,15:28:00,12:00:00,5min,sell,HL,30,TTC,0.2,0,1
B120_TTC_RE_3,SENSEX,2,09:16:00,15:28:00,12:00:00,5min,sell,HL,40,TTC,0.2,0,1
