code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,om,re_entries
NRE_1,NIFTY,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,0.25,3
NRE_2,NIFTY,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,15,0.25,3
NRE_1,SENSEX,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,0.25,3
NRE_2,SENSEX,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,15,0.25,3
NRE_1,NIFTY,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,NIFTY,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
NRE_1,SENSEX,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,SENSEX,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
NRE_1,NIFTY,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,NIFTY,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
NRE_1,SENSEX,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,SENSEX,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
NRE_1,NIFTY,4,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,NIFTY,4,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
NRE_1,SENSEX,4,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,SENSEX,4,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
NRE_1,NIFTY,5,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,NIFTY,5,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
NRE_1,SENSEX,5,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,0.25,1
NRE_2,SENSEX,5,09:20:00,15:24:00,10:30:00,5min,sell,HL,15,0.25,1
