code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,sl,intra_sl,om,re_entries
SRE_1,NIFTY,1,09:20:00,15:26:00,10:00:00,5min,sell,15,45,0.5SD,1
SRE_2,NIFTY,1,09:20:00,15:26:00,10:00:00,5min,sell,25,55,0.5SD,1
SRE_3,NIFTY,1,09:20:00,15:26:00,10:00:00,5min,sell,35,65,0.5SD,1
SRE_1,SENSEX,1,09:20:00,15:26:00,10:00:00,5min,sell,15,45,0.5SD,1
SRE_2,SENSEX,1,09:20:00,15:26:00,10:00:00,5min,sell,25,55,0.5SD,1
SRE_3,SENSEX,1,09:20:00,15:26:00,10:00:00,5min,sell,35,65,0.5SD,1
SRE_4,NIFTY,1,09:20:00,15:26:00,11:00:00,5min,sell,15,45,0.5SD,1
SRE_5,NIFTY,1,09:20:00,15:26:00,11:00:00,5min,sell,25,55,0.5SD,1
SRE_6,NIFTY,1,09:20:00,15:26:00,11:00:00,5min,sell,35,65,0.5SD,1
SRE_4,SENSEX,1,09:20:00,15:26:00,11:00:00,5min,sell,15,45,0.5SD,1
SRE_5,SENSEX,1,09:20:00,15:26:00,11:00:00,5min,sell,25,55,0.5SD,1
SRE_6,SENSEX,1,09:20:00,15:26:00,11:00:00,5min,sell,35,65,0.5SD,1
SRE_7,NIFTY,1,09:20:00,15:26:00,12:00:00,5min,sell,15,45,0.5SD,1
SRE_8,NIFTY,1,09:20:00,15:26:00,12:00:00,5min,sell,25,55,0.5SD,1
SRE_9,NIFTY,1,09:20:00,15:26:00,12:00:00,5min,sell,35,65,0.5SD,1
SRE_7,SENSEX,1,09:20:00,15:26:00,12:00:00,5min,sell,15,45,0.5SD,1
SRE_8,SENSEX,1,09:20:00,15:26:00,12:00:00,5min,sell,25,55,0.5SD,1
SRE_9,SENSEX,1,09:20:00,15:26:00,12:00:00,5min,sell,35,65,0.5SD,1
SRE_10,NIFTY,1,09:20:00,15:26:00,13:00:00,5min,sell,15,45,0.5SD,1
SRE_11,NIFTY,1,09:20:00,15:26:00,13:00:00,5min,sell,25,55,0.5SD,1
SRE_12,NIFTY,1,09:20:00,15:26:00,13:00:00,5min,sell,35,65,0.5SD,1
SRE_10,SENSEX,1,09:20:00,15:26:00,13:00:00,5min,sell,15,45,0.5SD,1
SRE_11,SENSEX,1,09:20:00,15:26:00,13:00:00,5min,sell,25,55,0.5SD,1
SRE_12,SENSEX,1,09:20:00,15:26:00,13:00:00,5min,sell,35,65,0.5SD,1
SRE_13,NIFTY,1,09:20:00,15:26:00,14:00:00,5min,sell,15,45,0.5SD,1
SRE_14,NIFTY,1,09:20:00,15:26:00,14:00:00,5min,sell,25,55,0.5SD,1
SRE_15,NIFTY,1,09:20:00,15:26:00,14:00:00,5min,sell,35,65,0.5SD,1
SRE_13,SENSEX,1,09:20:00,15:26:00,14:00:00,5min,sell,15,45,0.5SD,1
SRE_14,SENSEX,1,09:20:00,15:26:00,14:00:00,5min,sell,25,55,0.5SD,1
SRE_15,SENSEX,1,09:20:00,15:26:00,14:00:00,5min,sell,35,65,0.5SD,1
