code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,sl,intra_sl,om,ut_orderside,ut_method,ut_sl,ut_om
SUT_1,NIFTY,1,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,NIFTY,1,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,NIFTY,2,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,NIFTY,2,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,NIFTY,3,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,NIFTY,3,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,NIFTY,4,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,NIFTY,4,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,NIFTY,5,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,NIFTY,5,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,SENSEX,1,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,SENSEX,1,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,SENSEX,2,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,SENSEX,2,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,SENSEX,3,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,SENSEX,3,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,SENSEX,4,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,SENSEX,4,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
SUT_1,SENSEX,5,09:20:00,15:26:00,11:00:00,5min,sell,20,20,0.1,sell,HL,30,0.2
SUT_2,SENSEX,5,09:20:00,15:26:00,11:00:00,5min,sell,25,25,0.1,sell,HL,30,0.2
