code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,sl,intra_sl,om,re_entries,std_indicator,indicator_buffer,buffer_minute
SRE_SI_1,NIFTY,1,09:17:00,15:28:00,10:30:00,5min,sell,10,sl+30,0.5SD,2,low,-0.1,375
SRE_SI_1,SENSEX,1,09:17:00,15:28:00,10:00:00,3min,sell,10,sl+30,0.5SD,2,low,-0.1,375
SRE_SI_2,NIFTY,1,09:17:00,15:28:00,10:30:00,5min,sell,15,sl+30,0.5SD,2,low,-0.1,375
SRE_SI_2,SENSEX,1,09:17:00,15:28:00,10:00:00,3min,sell,15,sl+30,0.5SD,2,low,-0.1,375
SRE_SI_3,NIFTY,1,09:17:00,15:28:00,10:30:00,5min,sell,20,sl+30,0.5SD,2,low,-0.1,375
SRE_SI_3,SENSEX,1,09:17:00,15:28:00,10:00:00,3min,sell,20,sl+30,0.5SD,2,low,-0.1,375
SRE_SI_1,NIFTY,2,09:17:00,15:28:00,10:30:00,5min,sell,10,sl+30,0.5SD,0,low,0.1,375
SRE_SI_1,SENSEX,2,09:17:00,15:28:00,10:00:00,3min,sell,10,sl+30,0.5SD,0,low,0.1,375
SRE_SI_2,NIFTY,2,09:17:00,15:28:00,10:30:00,5min,sell,12.5,sl+30,0.5SD,0,low,0.1,375
SRE_SI_2,SENSEX,2,09:17:00,15:28:00,10:00:00,3min,sell,12.5,sl+30,0.5SD,0,low,0.1,375
SRE_SI_3,NIFTY,2,09:17:00,15:28:00,10:30:00,5min,sell,15,sl+30,0.5SD,0,low,0.1,375
SRE_SI_3,SENSEX,2,09:17:00,15:28:00,10:00:00,3min,sell,15,sl+30,0.5SD,0,low,0.1,375
