code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,ratio,om,re_entries
NRE_DD_1,NIFTY,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,15,0.5,0.2,2
NRE_DD_1,NIFTY,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,15,0.5,0.2,2
NRE_DD_1,NIFTY,3,09:15:00,15:24:00,10:30:00,5min,sell,HL,15,0.5,0.2,2
NRE_DD_2,NIFTY,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,25,0.5,0.2,2
NRE_DD_2,NIFTY,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,25,0.5,0.2,2
NRE_DD_2,NIFTY,3,09:15:00,15:24:00,10:30:00,5min,sell,HL,25,0.5,0.2,2
NRE_DD_3,NIFTY,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,35,0.5,0.2,2
NRE_DD_3,NIFTY,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,35,0.5,0.2,2
NRE_DD_3,NIFTY,3,09:15:00,15:24:00,10:30:00,5min,sell,HL,35,0.5,0.2,2
NRE_DD_1,SENSEX,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,15,0.5,0.2,2
NRE_DD_1,SENSEX,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,15,0.5,0.2,2
NRE_DD_2,SENSEX,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,25,0.5,0.2,2
NRE_DD_2,SENSEX,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,25,0.5,0.2,2
NRE_DD_3,SENSEX,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,35,0.5,0.2,2
NRE_DD_3,SENSEX,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,35,0.5,0.2,2
