index,from_dte,to_dte,Nv,from_date,to_date,start_time,end_time,run
NIFTY,1,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
NIFTY,2,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
NIFTY,3,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
NIFTY,4,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
NIFTY,5,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
NIFTY,6,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
SENSEX,1,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
SENSEX,2,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
SENSEX,3,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
SENSEX,4,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
SENSEX,5,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
SENSEX,6,1,12,01-01-2024,22-01-2026,09:15:00,15:29:00,TRUE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
